Series,V,A,Time,Concentration
RS_S26_INC-1,0.05,0.000298,22,7.71
RS_S27_INC-1,0.05,0.000298,22,7.4
RS_S28_INC-1,0.05,0.000298,22,7.72
RS_S29_INC-1,0.05,0.000298,22,8.81
RS_R01_INC-1,0.05,0.000298,24,8.26
RS_R02_INC-1,0.05,0.000298,24,7.94
RS_R03_INC-1,0.05,0.000298,24,6.83
RS_R04_INC-1,0.05,0.000298,24,7.98
RS_R05_INC-1,0.05,0.000298,24,8.12
RS_R06_INC-1,0.05,0.000298,24,7.64
RS_R07_INC-1,0.05,0.000298,24,8.42
RS_S01_INC-1,0.05,0.000298,24,7.86
RS_S02_INC-1,0.05,0.000298,24,7.55
RS_S03_INC-1,0.05,0.000298,24,8.84
RS_S04_INC-1,0.05,0.000298,24,7.34
RS_S05_INC-1,0.05,0.000298,24,7.8
RS_S06_INC-1,0.05,0.000298,24,7.39
RS_S07_INC-1,0.05,0.000298,24,8.78
RS_S08_INC-1,0.05,0.000298,24,8.65
RS_S09_INC-1,0.05,0.000298,24,7.72
RS_S10_INC-1,0.05,0.000298,24,8.49
RS_S11_INC-1,0.05,0.000298,24,8.84
RS_S12_INC-1,0.05,0.000298,24,10
RS_S13_INC-1,0.05,0.000298,24,8.25
RS_S14_INC-1,0.05,0.000298,24,8.17
RS_S15_INC-1,0.05,0.000298,24,8.09
RS_S16_INC-1,0.05,0.000298,24,7.25
RS_S17_INC-1,0.05,0.000298,24,7.27
RS_S18_INC-1,0.05,0.000298,24,8.97
RS_S19_INC-1,0.05,0.000298,24,8.47
RS_S20_INC-1,0.05,0.000298,24,11.32
RS_S21_INC-1,0.05,0.000298,24,7.73
RS_S22_INC-1,0.05,0.000298,24,9.61
RS_S23_INC-1,0.05,0.000298,24,7.75
RS_S24_INC-1,0.05,0.000298,24,8.42
RS_S25_INC-1,0.05,0.000298,24,8.87
RS_S26_INC-1,0.05,0.000298,24,7.72
RS_S27_INC-1,0.05,0.000298,24,7.47
RS_S28_INC-1,0.05,0.000298,24,7.73
RS_S29_INC-1,0.05,0.000298,24,8.93
RS_R01_INC-1,0.05,0.000298,26,8.11
RS_R02_INC-1,0.05,0.000298,26,7.63
RS_R03_INC-1,0.05,0.000298,26,6.78
RS_R04_INC-1,0.05,0.000298,26,8.16
RS_R05_INC-1,0.05,0.000298,26,8
RS_R06_INC-1,0.05,0.000298,26,7.62
RS_R07_INC-1,0.05,0.000298,26,8.11
RS_S01_INC-1,0.05,0.000298,26,7.84
RS_S02_INC-1,0.05,0.000298,26,7.45
RS_S03_INC-1,0.05,0.000298,26,8.92
RS_S04_INC-1,0.05,0.000298,26,7.27
RS_S05_INC-1,0.05,0.000298,26,7.63
RS_S06_INC-1,0.05,0.000298,26,7.51
RS_S07_INC-1,0.05,0.000298,26,8.7
RS_S08_INC-1,0.05,0.000298,26,8.8
RS_S09_INC-1,0.05,0.000298,26,7.66
RS_S10_INC-1,0.05,0.000298,26,8.63
RS_S11_INC-1,0.05,0.000298,26,8.78
RS_S12_INC-1,0.05,0.000298,26,10.04
RS_S13_INC-1,0.05,0.000298,26,8.34
RS_S14_INC-1,0.05,0.000298,26,8.18
RS_S15_INC-1,0.05,0.000298,26,8.04
RS_S16_INC-1,0.05,0.000298,26,7.68
RS_S17_INC-1,0.05,0.000298,26,7.58
RS_S18_INC-1,0.05,0.000298,26,8.92
RS_S19_INC-1,0.05,0.000298,26,8.5
RS_S20_INC-1,0.05,0.000298,26,11.48
RS_S21_INC-1,0.05,0.000298,26,7.87
RS_S22_INC-1,0.05,0.000298,26,9.68
RS_S23_INC-1,0.05,0.000298,26,7.89
RS_S24_INC-1,0.05,0.000298,26,8.25
RS_S25_INC-1,0.05,0.000298,26,8.83
RS_S26_INC-1,0.05,0.000298,26,7.6
RS_S27_INC-1,0.05,0.000298,26,7.54
RS_S28_INC-1,0.05,0.000298,26,7.65
RS_S29_INC-1,0.05,0.000298,26,8.84
RS_R01_INC-1,0.05,0.000298,28,8.3
RS_R02_INC-1,0.05,0.000298,28,7.56
RS_R03_INC-1,0.05,0.000298,28,6.69
RS_R04_INC-1,0.05,0.000298,28,8
RS_R05_INC-1,0.05,0.000298,28,8.16
RS_R06_INC-1,0.05,0.000298,28,7.67
RS_R07_INC-1,0.05,0.000298,28,7.86
RS_S01_INC-1,0.05,0.000298,28,7.75
RS_S02_INC-1,0.05,0.000298,28,7.52
RS_S03_INC-1,0.05,0.000298,28,8.94
RS_S04_INC-1,0.05,0.000298,28,7.45
RS_S05_INC-1,0.05,0.000298,28,7.72
RS_S06_INC-1,0.05,0.000298,28,7.4
RS_S07_INC-1,0.05,0.000298,28,8.76
RS_S08_INC-1,0.05,0.000298,28,8.62
RS_S09_INC-1,0.05,0.000298,28,7.68
RS_S10_INC-1,0.05,0.000298,28,8.5
RS_S11_INC-1,0.05,0.000298,28,8.77
RS_S12_INC-1,0.05,0.000298,28,10.03
RS_S13_INC-1,0.05,0.000298,28,8.29
RS_S14_INC-1,0.05,0.000298,28,8.22
RS_S15_INC-1,0.05,0.000298,28,8.1
RS_S16_INC-1,0.05,0.000298,28,7.35
RS_S17_INC-1,0.05,0.000298,28,7.34
RS_S18_INC-1,0.05,0.000298,28,8.87
RS_S19_INC-1,0.05,0.000298,28,8.43
RS_S20_INC-1,0.05,0.000298,28,11.18
RS_S21_INC-1,0.05,0.000298,28,7.97
RS_S22_INC-1,0.05,0.000298,28,9.61
RS_S23_INC-1,0.05,0.000298,28,7.72
RS_S24_INC-1,0.05,0.000298,28,8.42
RS_S25_INC-1,0.05,0.000298,28,8.9
