Series,V,A,Time,Concentration
RS_S01_INC-1,50,0.000298,16,7.78
RS_S01_INC-1,50,0.000298,18,7.77
RS_S01_INC-1,50,0.000298,20,7.83
RS_S01_INC-1,50,0.000298,22,7.72
RS_S01_INC-1,50,0.000298,24,7.76
RS_S01_INC-1,50,0.000298,26,7.86
RS_S01_INC-1,50,0.000298,28,7.84
RS_S01_INC-1,50,0.000298,30,7.75
RS_S01_INC-1,50,0.000298,32,7.81
RS_S01_INC-1,50,0.000298,34,7.83
RS_S01_INC-1,50,0.000298,36,7.79
RS_S01_INC-1,50,0.000298,38,7.73
RS_S01_INC-1,50,0.000298,40,7.92
RS_S01_INC-1,50,0.000298,42,7.81
RS_S01_INC-1,50,0.000298,44,7.82
RS_S01_INC-1,50,0.000298,46,7.8
RS_S01_INC-1,50,0.000298,48,7.88
RS_S01_INC-1,50,0.000298,50,7.9
RS_S01_INC-1,50,0.000298,52,7.84
RS_S01_INC-1,50,0.000298,54,7.8
RS_S01_INC-1,50,0.000298,56,7.92
RS_S01_INC-1,50,0.000298,58,7.96
RS_S01_INC-1,50,0.000298,60,7.88
RS_S01_INC-1,50,0.000298,62,7.79
RS_S01_INC-1,50,0.000298,64,7.86
RS_S01_INC-1,50,0.000298,66,7.89
RS_S01_INC-1,50,0.000298,68,7.8
RS_S01_INC-1,50,0.000298,70,7.79
RS_S01_INC-1,50,0.000298,72,7.92
RS_S01_INC-1,50,0.000298,74,7.89
RS_S01_INC-1,50,0.000298,76,7.81
RS_S01_INC-1,50,0.000298,78,7.74
RS_S01_INC-1,50,0.000298,80,7.91
RS_S01_INC-1,50,0.000298,82,7.83
RS_S01_INC-1,50,0.000298,84,7.84
RS_S01_INC-1,50,0.000298,86,7.77
RS_S01_INC-1,50,0.000298,88,7.9
RS_S01_INC-1,50,0.000298,90,7.9
RS_S01_INC-1,50,0.000298,92,7.87
RS_S01_INC-1,50,0.000298,94,7.8
RS_S01_INC-1,50,0.000298,96,7.87
RS_S01_INC-1,50,0.000298,98,7.95
RS_S01_INC-1,50,0.000298,100,7.85
RS_S01_INC-1,50,0.000298,102,7.83
RS_S01_INC-1,50,0.000298,104,7.83
RS_S01_INC-1,50,0.000298,106,7.9
RS_S01_INC-1,50,0.000298,108,7.86
RS_S01_INC-1,50,0.000298,110,7.82
RS_S02_INC-1,50,0.000298,0,9.09
RS_S02_INC-1,50,0.000298,2,7.76
RS_S02_INC-1,50,0.000298,4,7.63
RS_S02_INC-1,50,0.000298,6,7.57
RS_S02_INC-1,50,0.000298,8,7.46
RS_S02_INC-1,50,0.000298,10,7.46
RS_S02_INC-1,50,0.000298,12,7.45
RS_S02_INC-1,50,0.000298,14,7.47
RS_S02_INC-1,50,0.000298,16,7.47
RS_S02_INC-1,50,0.000298,18,7.47
RS_S02_INC-1,50,0.000298,20,7.46
RS_S02_INC-1,50,0.000298,22,7.4
